state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,year
Alabama,26760.0,15493.0,11267.0,14130.0,12266.0,12381.0,790.0,13753.0,6.0,2269673.0,2124405.0,145268.0,4921532.0,92593.0,82407.0,10186.0,46179.0,63466.386189767974,152101.55557496252,62.68,2020
Alaska,25115.0,20497.0,4618.0,13542.0,11462.0,9396.0,1790.0,891.0,360.0,347152.0,318300.0,28852.0,731158.0,7838.0,7602.0,236.0,62756.0,183241.504312877,303443.24455396493,32.03,2020
Arizona,35575.0,17129.0,18446.0,20774.0,14524.0,22961.0,6678.0,3741.0,319.0,3471043.0,3199853.0,271190.0,7421401.0,41211.0,37914.0,3297.0,52327.0,197655.6374595431,287316.8262423819,65.97,2020
Arkansas,27697.0,10377.0,17320.0,17840.0,9825.0,17569.0,513.0,8993.0,61.0,1346793.0,1263623.0,83170.0,3030522.0,51000.0,44880.0,6120.0,47154.0,53610.987503551376,134152.14167910354,60.09,2020
California,182813.0,54041.0,128772.0,118893.0,61507.0,103028.0,57339.0,51122.0,3485.0,18971565.0,17047572.0,1923993.0,39368078.0,496899.0,447209.0,49690.0,70647.0,331328.02941953094,568496.689547889,61.17,2020
Colorado,135795.0,79822.0,55973.0,92966.0,41641.0,97957.0,28867.0,15507.0,489.0,3088992.0,2880226.0,208766.0,5807719.0,62371.0,55510.0,6861.0,65358.0,274844.7412073434,418323.77866294066,46.26,2020
Connecticut,16153.0,14220.0,1933.0,9909.0,6177.0,8581.0,4495.0,5709.0,94.0,1884101.0,1734480.0,149621.0,3557006.0,82678.0,75236.0,7442.0,78463.0,173026.94542454637,272835.18720806105,48.6,2020
Delaware,3495.0,3045.0,450.0,2103.0,1389.0,1236.0,303.0,2034.0,9.0,486497.0,449965.0,36532.0,986809.0,13082.0,11904.0,1178.0,56324.0,165704.96269983254,270377.67771285697,54.48,2020
Florida,61323.0,31801.0,29522.0,38412.0,22633.0,32255.0,7384.0,25695.0,289.0,10113735.0,9292635.0,821100.0,21733312.0,198481.0,182602.0,15879.0,57292.0,153418.48652303813,255613.6452162799,71.8,2020
Georgia,659068.0,316629.0,342439.0,363853.0,281143.0,287844.0,38940.0,334686.0,5631.0,5095711.0,4766740.0,328971.0,10710017.0,134966.0,120119.0,14847.0,51987.0,103631.49895350156,208245.09351206615,62.300000000000004,2020
Hawaii,10478.0,4220.0,6258.0,6154.0,4247.0,2757.0,1523.0,401.0,798.0,664085.0,586179.0,77906.0,1407006.0,23176.0,19467.0,3709.0,57241.0,351238.14485008176,627284.724920754,72.95,2020
Idaho,72371.0,31008.0,41363.0,35590.0,36693.0,58646.0,15324.0,808.0,307.0,901898.0,852423.0,49475.0,1826913.0,12563.0,11181.0,1382.0,49491.0,204920.19984611718,310402.0274306705,46.32,2020
Illinois,20147.0,16897.0,3250.0,10866.0,9264.0,12630.0,1025.0,6520.0,164.0,6349826.0,5759011.0,590815.0,12587530.0,228497.0,207932.0,20565.0,62139.0,84294.05635669084,185370.09525914173,51.37,2020
Indiana,368955.0,297789.0,71166.0,209790.0,157702.0,257652.0,24917.0,84493.0,2017.0,3346351.0,3102707.0,243644.0,6754953.0,89273.0,99985.0,-10712.0,52219.0,88163.20152422767,163745.82997725913,51.81,2020
Iowa,163476.0,145582.0,17894.0,95271.0,67344.0,112509.0,10770.0,39240.0,500.0,1673598.0,1587344.0,86254.0,3163561.0,40884.0,35977.0,4907.0,53312.0,80786.49501159326,156617.71156543717,48.14,2020
Kansas,96509.0,73809.0,22700.0,58280.0,38227.0,68786.0,11337.0,12750.0,115.0,1503015.0,1415451.0,87564.0,2913805.0,35288.0,29994.0,5294.0,55974.0,60854.85795135319,146401.50462843146,54.68,2020
Kentucky,263751.0,174371.0,89380.0,149579.0,113693.0,224190.0,6454.0,32001.0,370.0,2017010.0,1886079.0,130931.0,4477251.0,85350.0,75961.0,9389.0,47525.0,55891.750369926565,143603.81358706646,55.62,2020
Louisiana,23552.0,15378.0,8174.0,15795.0,7710.0,8766.0,565.0,14014.0,130.0,2064947.0,1887349.0,177598.0,4645318.0,94648.0,80450.0,14198.0,50809.0,65151.10209927637,161877.6409052287,66.74,2020
Maine,33552.0,31296.0,2256.0,18288.0,15040.0,26096.0,1344.0,4960.0,48.0,670595.0,636659.0,33936.0,1350141.0,27051.0,24616.0,2435.0,54912.0,137583.53254247943,243080.22176588315,43.09,2020
Maryland,6809.0,5583.0,1226.0,3967.0,2804.0,2424.0,372.0,3950.0,52.0,3241085.0,3031031.0,210054.0,6055802.0,102076.0,89826.0,12250.0,65685.0,178518.12157960839,315745.4414402425,54.61,2020
Massachusetts,16198.0,15076.0,1122.0,8373.0,7783.0,8993.0,5165.0,5698.0,162.0,3750154.0,3399382.0,350772.0,6893574.0,195859.0,184107.0,11752.0,78388.0,277585.0757051933,441783.5999929163,48.14,2020
Michigan,93594.0,77211.0,16383.0,48203.0,45322.0,76123.0,4756.0,11205.0,57.0,4863016.0,4379125.0,483891.0,9966555.0,145810.0,131229.0,14581.0,53388.0,74621.34622787195,166104.57252544968,46.64,2020
Minnesota,36399.0,27377.0,9022.0,19196.0,17053.0,19828.0,3297.0,8522.0,440.0,3134166.0,2938018.0,196148.0,5657342.0,91016.0,81914.0,9102.0,62240.0,152764.89878187244,252854.08303671668,42.98,2020
Mississippi,35291.0,17493.0,17798.0,21397.0,13878.0,16125.0,302.0,18019.0,15.0,1247035.0,1147393.0,99642.0,2966786.0,55842.0,51933.0,3909.0,42716.0,54428.16393507154,128318.22566785925,63.5,2020
Missouri,161215.0,95534.0,65681.0,80792.0,79502.0,124064.0,7423.0,26230.0,332.0,3037886.0,2851951.0,185935.0,6151548.0,92649.0,82457.0,10192.0,52108.0,82020.33707109443,166311.7587458226,54.7,2020
Montana,86520.0,60760.0,25760.0,50176.0,35280.0,60872.0,8232.0,2856.0,224.0,545342.0,513548.0,31794.0,1080577.0,13902.0,11816.0,2086.0,54106.0,165175.31896472824,280977.5346148605,44.18,2020
Nebraska,51810.0,49373.0,2437.0,29496.0,22129.0,42716.0,10895.0,4947.0,129.0,1048391.0,1003442.0,44949.0,1937552.0,27840.0,24499.0,3341.0,57421.0,100581.24373195782,185539.9097703836,49.88,2020
Nevada,12304.0,4049.0,8255.0,8269.0,4010.0,9126.0,1758.0,2052.0,142.0,1506635.0,1302991.0,203644.0,3138259.0,23322.0,22389.0,933.0,55406.0,220549.76274730483,317850.4658714165,57.3,2020
New Hampshire,8691.0,6383.0,2308.0,4767.0,3887.0,7818.0,528.0,410.0,96.0,764137.0,713147.0,50990.0,1366275.0,21949.0,20412.0,1537.0,68542.0,194640.9034816079,305401.4733524848,44.49,2020
