coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_chronically_homeless,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,poverty,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,public_welfare_expenditures_per_capita,total_expenditures_per_capita,year
MD-506,Carroll County CoC,136.0,136.0,0.0,10.0,93015,89753,3262,167189,0.0,0.0,0.0,8990,57958.0,200581.44739326823,299866.57411796873,54.60999999999999,2005.1661,9638.1759,2016
MD-509,Frederick City & County CoC,349.0,220.0,129.0,133.0,128533,123692,4841,247269,0.0,0.0,0.0,16793,57382.0,196028.44575943088,302315.30898766586,54.61,2005.1661,9638.1759,2016
MD-511,Mid-Shore Regional CoC,138.0,112.0,26.0,23.0,63253,60218,3035,121980,0.0,0.0,0.0,16878,51707.651680603376,99708.75203544246,198067.53257736322,54.61,2005.1661,9638.1759,2016
MD-513,"Wicomico, Somerset, Worcester Counties CoC",262.0,225.0,37.0,33.0,84736,78804,5932,179627,0.0,0.0,0.0,28418,41912.3105268139,77347.45215252672,156560.31111091303,54.60999999999999,2005.1661,9638.175899999998,2016
MD-601,Montgomery County CoC,981.0,885.0,96.0,151.0,544649,526510,18139,1039327,0.0,0.0,0.0,71252,83540.0,251052.86988570367,429152.39411578403,54.61,2005.1661,9638.1759,2016
ME-500,Maine Balance of State CoC,2241.0,2121.0,120.0,217.0,693921,667725,26196,1332348,0.0,0.0,0.0,159522,45002.76693476479,110701.91936681647,179461.05204890878,43.09,2369.5579,8479.7366,2016
MI-500,Michigan Balance of State CoC,1536.0,1312.0,224.0,44.0,900656,848340,52316,1941973,0.0,0.0,0.0,289928,37725.04889923804,36786.057867746254,94779.03778766612,46.64,1689.8494,8248.5672,2016
MI-503,"St. Clair Shores, Warren/Macomb County CoC",403.0,354.0,49.0,14.0,435441,412956,22485,868329,0.0,0.0,0.0,94224,43607.0,70324.73823149504,140211.0962997674,46.64,1689.8494,8248.5672,2016
MI-504,"Pontiac, Royal Oak/Oakland County CoC",438.0,362.0,76.0,37.0,652450,625608,26842,1251563,0.0,0.0,0.0,106650,66757.0,110642.43533811004,207627.9669507188,46.64,1689.8494,8248.5672,2016
MI-505,Flint/Genesee County CoC,377.0,290.0,87.0,24.0,180586,170150,10436,409054,0.0,0.0,0.0,81761,38174.0,16273.65245704737,76316.74240441591,46.63999999999999,1689.8494,8248.5672,2016
MI-506,"Grand Rapids, Wyoming/Kent County CoC",800.0,759.0,41.0,63.0,351257,338786,12471,644219,0.0,0.0,0.0,76343,50584.0,99179.28875630285,167598.30464138286,46.64,1689.8494000000003,8248.5672,2016
MI-507,"Portage, Kalamazoo City & County CoC",374.0,366.0,8.0,18.0,132365,126947,5418,261584,0.0,0.0,0.0,42141,45441.0,65474.27134976129,137066.1429172935,46.64,1689.8494,8248.5672,2016
MI-508,"Lansing, East Lansing/Ingham County CoC",471.0,355.0,116.0,44.0,149317,142853,6464,289633,0.0,0.0,0.0,54343,37640.0,43285.806551628055,104037.0700436331,46.64,1689.8494,8248.5672,2016
MI-509,Washtenaw County CoC,342.0,301.0,41.0,63.0,192000,184914,7086,366960,0.0,0.0,0.0,49933,54292.0,130488.37723972835,237804.5394038354,46.63999999999999,1689.8494,8248.5672,2016
MI-510,Saginaw City & County CoC,343.0,326.0,17.0,22.0,88762,83977,4785,192636,0.0,0.0,0.0,33068,36531.0,17422.019714273683,69034.86840085652,46.64000000000001,1689.8494,8248.5672,2016
MI-511,Lenawee County CoC,137.0,119.0,18.0,16.0,47487,45278,2209,98595,0.0,0.0,0.0,11641,37023.0,47782.665603624104,114479.38205549527,46.64,1689.8494,8248.5672,2016
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",243.0,233.0,10.0,38.0,86823,82290,4533,171480,0.0,0.0,0.0,17898,46152.64020293912,84929.55970617484,170907.84499597142,46.64,1689.8493999999998,8248.5672,2016
MI-514,Battle Creek/Calhoun County CoC,246.0,209.0,37.0,25.0,64585,61453,3132,134343,0.0,0.0,0.0,21973,37873.0,26988.621570160827,80028.62120942368,46.64,1689.8494,8248.5672,2016
MI-515,Monroe City & County CoC,176.0,173.0,3.0,11.0,76614,73276,3338,149278,0.0,0.0,0.0,14819,43721.0,70542.48266913193,151049.7682441745,46.64,1689.8494,8248.5672,2016
MI-516,"Norton Shores, Muskegon City & County CoC",191.0,184.0,7.0,5.0,77659,73383,4276,173342,0.0,0.0,0.0,31393,35977.0,36493.07839453959,97479.41604963121,46.64,1689.8494,8248.5672,2016
MI-517,Jackson City & County CoC,169.0,162.0,7.0,2.0,74612,70963,3649,158345,0.0,0.0,0.0,20352,37329.0,42367.49032423103,107591.47700064951,46.64,1689.8494,8248.5672,2016
MI-518,Livingston County CoC,77.0,75.0,2.0,1.0,99935,95886,4049,188585,0.0,0.0,0.0,10912,54331.0,137580.01820064106,223991.77396215955,46.64,1689.8494000000003,8248.5672,2016
MI-519,Holland/Ottawa County CoC,261.0,257.0,4.0,9.0,155788,150491,5297,283686,0.0,0.0,0.0,24520,45457.0,119175.92174406874,180304.17915358781,46.64,1689.8494,8248.5672,2016
MI-523,Eaton County CoC,120.0,111.0,9.0,2.0,57051,54670,2381,109220,0.0,0.0,0.0,12005,39837.0,76282.80703039642,139417.60121169966,46.64,1689.8494,8248.5672,2016
MN-500,Minneapolis/Hennepin County CoC,3056.0,2886.0,170.0,390.0,685106,662298,22808,1236183,0.0,0.0,0.0,132137,68704.0,152098.74515921107,242044.3271053735,42.98,2742.4577,10182.91,2016
MN-501,St. Paul/Ramsey County CoC,1346.0,1210.0,136.0,210.0,282227,272058,10169,541635,0.0,0.0,0.0,73203,50764.0,136353.18007095045,205281.1293895213,42.98,2742.4577,10182.91,2016
MN-502,Rochester/Southeast Minnesota CoC,423.0,409.0,14.0,35.0,377135,363738,13397,670545,0.0,0.0,0.0,65238,46275.71345845544,94364.72827011322,161362.24345309648,42.98,2742.4577,10182.91,2016
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties CoC",618.0,411.0,207.0,57.0,702413,678227,24186,1261033,0.0,0.0,0.0,69831,55899.63651466694,168303.1688044519,250342.05673348656,42.98,2742.4577,10182.91,2016
MN-504,Northeast Minnesota CoC,77.0,60.0,17.0,2.0,61435,57111,4324,124930,0.0,0.0,0.0,14622,39803.67087168815,61803.34545720623,134694.69007447117,42.98,2742.4577,10182.91,2016
MN-505,St. Cloud/Central Minnesota CoC,669.0,502.0,167.0,18.0,397426,379605,17821,736485,0.0,0.0,0.0,66584,42864.82235754971,110769.33781894867,183520.02071794908,42.98,2742.4577,10182.91,2016
MN-506,Northwest Minnesota CoC,290.0,288.0,2.0,22.0,88712,83733,4979,165093,0.0,0.0,0.0,22102,42140.07540598329,55419.798691004806,134169.23541630394,42.98,2742.4577,10182.91,2016
MN-508,Moorhead/West Central Minnesota CoC,211.0,199.0,12.0,24.0,132531,127288,5243,241735,0.0,0.0,0.0,26094,44547.63457091443,93673.52667630014,166141.92555041582,42.98,2742.4577,10182.91,2016
MN-511,Southwest Minnesota CoC,123.0,117.0,6.0,5.0,151494,145075,6419,269621,0.0,0.0,0.0,26559,45593.32951810134,52612.10305985485,119915.43426314225,42.98,2742.4577,10182.91,2016
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",610.0,380.0,230.0,33.0,44680,42730,1950,89021,0.0,0.0,0.0,10067,38338.98857572932,72582.964232786,171033.8408668984,54.7,1503.0383,7538.6378,2016
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",496.0,284.0,212.0,221.0,208603,200468,8135,410543,0.0,0.0,0.0,60820,39306.90360814823,73388.72209202586,129704.07102603705,54.7,1503.0383000000002,7538.6377999999995,2016
MO-602,"Joplin/Jasper, Newton Counties CoC",297.0,238.0,59.0,19.0,85854,82237,3617,177525,0.0,0.0,0.0,28552,37400.19579214195,46296.98616713936,103210.04873397408,54.7,1503.0383,7538.6377999999995,2016
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",195.0,185.0,10.0,45.0,61740,59246,2494,118943,0.0,0.0,0.0,18085,36450.40856544732,43586.15174156562,100173.28096223451,54.7,1503.0383,7538.6378,2016
MO-606,Missouri Balance of State CoC,1431.0,1056.0,375.0,201.0,1157382,1101472,55910,2442704,0.0,0.0,0.0,373675,36886.43831917416,54182.673897239365,112901.83251775397,54.7,1503.0383,7538.637800000001,2016
MS-500,"Jackson/Rankin, Madison Counties CoC",633.0,297.0,336.0,88.0,269108,255588,13520,573960,0.0,0.0,0.0,93132,43229.939912189,57111.72072680201,122040.26289846195,63.5,2070.9774,8655.0993,2016
MS-501,Mississippi Balance of State CoC,785.0,479.0,306.0,57.0,789908,741300,48608,1898943,0.0,0.0,0.0,414811,34037.29736490247,47736.85437573235,104644.96146559766,63.5,2070.9774,8655.0993,2016
MS-503,Gulf Port/Gulf Coast Regional CoC,320.0,113.0,207.0,38.0,202330,189826,12504,488078,0.0,0.0,0.0,90085,35248.9348444306,53718.04346939937,117543.8691494226,63.5,2070.9774,8655.0993,2016
MT-500,Montana Statewide CoC,1418.0,788.0,630.0,137.0,521742,499269,22473,1042137,0.0,0.0,0.0,136437,44211.25978542169,138552.75200556562,220642.83696598184,44.18,1693.3203,8326.4894,2016
NC-500,Winston-Salem/Forsyth County CoC,544.0,506.0,38.0,95.0,182081,173210,8871,371437,0.0,0.0,0.0,62994,45088.0,63319.03473025483,132314.01711380878,58.7,1417.1363,7822.9418000000005,2016
NC-501,Asheville/Buncombe County CoC,509.0,437.0,72.0,74.0,133951,128768,5183,255222,0.0,0.0,0.0,33631,44403.0,148010.47931400035,235362.71909905304,58.7,1417.1363,7822.9418,2016
NC-502,Durham City & County CoC,354.0,322.0,32.0,57.0,161608,154321,7287,308105,0.0,0.0,0.0,47269,45872.0,114713.5593940597,196236.445960334,58.7,1417.1363,7822.9418000000005,2016
NC-503,North Carolina Balance of State CoC,2963.0,2128.0,835.0,348.0,2290300,2166356,123944,5103470,0.0,0.0,0.0,823144,37601.208862793355,63421.550913725594,134581.73005797627,58.7,1417.1363,7822.9418,2016
NC-504,"Greensboro, High Point CoC",721.0,637.0,84.0,38.0,257680,244175,13505,524520,0.0,0.0,0.0,92205,42771.0,46106.000378610916,130809.02838588365,58.7,1417.1363,7822.9418,2016
NC-505,Charlotte/Mecklenburg County CoC,1818.0,1631.0,187.0,191.0,581630,554067,27563,1058056,0.0,0.0,0.0,127889,55557.0,114233.51732883614,198910.4856061379,58.7,1417.1363,7822.9418,2016
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",389.0,261.0,128.0,81.0,192010,181930,10080,410173,0.0,0.0,0.0,63561,41437.93570274006,124594.81801096235,214400.0896159476,58.7,1417.1362999999997,7822.9418,2016
NC-507,Raleigh/Wake County CoC,818.0,680.0,138.0,149.0,554963,531092,23871,1048933,0.0,0.0,0.0,94001,55025.0,159331.49582058412,265310.38499166985,58.7,1417.1363,7822.9418,2016
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",328.0,243.0,85.0,36.0,192959,182847,10112,394999,0.0,0.0,0.0,63335,37882.31087926805,53589.19966155465,123763.8048945727,58.7,1417.1363000000001,7822.9418,2016
NC-511,Fayetteville/Cumberland County CoC,515.0,224.0,291.0,80.0,126947,118818,8129,333723,0.0,0.0,0.0,59570,35766.0,38579.73048838836,111616.33837021586,58.7,1417.1363,7822.941799999999,2016
NC-513,Chapel Hill/Orange County CoC,80.0,65.0,15.0,16.0,74699,71532,3167,142849,0.0,0.0,0.0,17049,60008.0,138266.91118235022,255979.8812770826,58.7,1417.1363,7822.9418,2016
NC-516,Northwest North Carolina CoC,520.0,116.0,404.0,19.0,96026,91345,4681,210315,0.0,0.0,0.0,38384,33825.72222618453,73421.21747194245,151767.4093626489,58.7,1417.1363,7822.9418000000005,2016
ND-500,North Dakota Statewide CoC,923.0,707.0,216.0,120.0,376359,365022,11337,684615,0.0,0.0,0.0,66090,53218.22304214778,118305.53968778579,190315.2006867721,40.8,2003.701,12407.601,2016
NE-500,Nebraska Balance of State CoC,551.0,539.0,12.0,7.0,452676,438996,13680,840822,0.0,0.0,0.0,92737,46511.713103367896,57142.49785809294,119790.87166262679,49.88,1328.407,8928.1993,2016
NE-501,"Omaha, Council Bluffs CoC",1509.0,1452.0,57.0,200.0,430698,416807,13891,827986,0.0,0.0,0.0,87048,53977.419641153356,93181.86065161607,161793.8613254585,49.68319804924238,1398.4887628085498,9016.042653763108,2016
NH-500,New Hampshire Balance of State CoC,670.0,594.0,76.0,213.0,520158,505718,14440,932103,0.0,0.0,0.0,65781,56761.368477518045,148211.7842449832,229867.0451842363,44.49,1672.1853000000003,7987.4817,2016
NJ-500,Atlantic City & County CoC,476.0,360.0,116.0,53.0,122855,113793,9062,267212,0.0,0.0,0.0,37734,44735.0,81096.46336074773,168849.49464142165,51.93,1841.7386,10162.723,2016
NJ-501,Bergen County CoC,296.0,285.0,11.0,10.0,480916,460970,19946,928381,0.0,0.0,0.0,63789,78836.0,282529.3709175367,425501.3175913676,51.93,1841.7386,10162.723,2016
NJ-502,Burlington County CoC,926.0,913.0,13.0,133.0,230410,220184,10226,447092,0.0,0.0,0.0,27083,57583.0,120205.42625731985,214784.68887855866,51.93,1841.7386,10162.723,2016
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",1068.0,829.0,239.0,75.0,515180,484328,30852,1044742,0.0,0.0,0.0,120072,48463.55589035379,90119.26353593142,176775.73494382465,51.93,1841.7386,10162.723,2016
NJ-504,Newark/Essex County CoC,1779.0,1336.0,443.0,97.0,369898,347867,22031,793073,0.0,0.0,0.0,126492,60735.0,164265.2515285232,333588.57376572496,51.93,1841.7386,10162.723,2016
NJ-506,"Jersey City, Bayonne/Hudson County CoC",829.0,603.0,226.0,137.0,360730,344004,16726,668673,0.0,0.0,0.0,104660,56597.0,182968.54172949764,334044.3501258175,51.93,1841.7386,10162.723,2016
NJ-507,New Brunswick/Middlesex County CoC,457.0,373.0,84.0,44.0,437739,418503,19236,825298,0.0,0.0,0.0,69642,56207.0,179000.1010304621,293403.0961867588,51.93,1841.7386,10162.723,2016
NJ-508,Monmouth County CoC,344.0,299.0,45.0,74.0,327641,313165,14476,623055,0.0,0.0,0.0,43866,73074.0,226728.18499583995,373033.15366425324,51.93,1841.7385999999997,10162.723,2016
NJ-509,Morris County CoC,410.0,376.0,34.0,34.0,259361,249294,10067,493831,0.0,0.0,0.0,26615,91252.0,255623.94381275692,405881.53134724963,51.93,1841.7386,10162.723,2016
NJ-510,Lakewood Township/Ocean County CoC,429.0,375.0,54.0,73.0,268831,254901,13930,591142,0.0,0.0,0.0,64493,48826.0,153727.12684740016,264195.82611751475,51.93,1841.7386,10162.723,2016
NJ-511,Paterson/Passaic County CoC,432.0,396.0,36.0,27.0,244584,229603,14981,504001,0.0,0.0,0.0,85671,46617.0,181487.87526663905,289027.9258252806,51.93,1841.7386,10162.723,2016
NJ-513,Somerset County CoC,218.0,209.0,9.0,1.0,172875,165923,6952,330003,0.0,0.0,0.0,17318,92352.0,224227.70854871313,379751.2002552792,51.93,1841.7385999999997,10162.723,2016
NJ-514,Trenton/Mercer County CoC,465.0,421.0,44.0,20.0,198847,190295,8552,367929,0.0,0.0,0.0,39066,63905.0,88014.63840085104,221523.06421279898,51.93,1841.7385999999997,10162.723,2016
NJ-515,Elizabeth/Union County CoC,513.0,451.0,62.0,19.0,276619,262443,14176,552814,0.0,0.0,0.0,58425,61978.0,168738.31135178477,306619.42736318597,51.93,1841.7386,10162.723,2016
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",253.0,235.0,18.0,25.0,196265,187767,8498,373082,0.0,0.0,0.0,22599,64526.29529701245,154069.9549201376,266635.82107699144,51.92999999999999,1841.7386,10162.723,2016
NM-501,New Mexico Balance of State CoC,1041.0,770.0,271.0,394.0,472069,438114,33955,1081701,0.0,0.0,0.0,205109,39135.10758888085,77691.23341300298,158851.32275331847,53.07,2989.9116,10426.871,2016
NV-500,Las Vegas/Clark County CoC,6208.0,2477.0,3731.0,285.0,1040292,978799,61493,2140240,0.0,0.0,0.0,311352,43826.0,134036.9671805028,221152.5643459936,57.3,1228.3422,6979.3592,2016
NV-501,"Reno, Sparks/Washoe County CoC",989.0,869.0,120.0,35.0,227991,216417,11574,449990,0.0,0.0,0.0,56064,52678.0,192540.0118398959,303136.7194808896,57.3,1228.3422,6979.3592,2016
NV-502,Nevada Balance of State CoC,201.0,125.0,76.0,27.0,119930,112736,7194,272220,0.0,0.0,0.0,32859,44066.51082212916,114096.92447345651,204319.7512340326,57.3,1228.3422,6979.3592,2016
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",860.0,791.0,69.0,184.0,363421,346044,17377,744150,0.0,0.0,0.0,106742,48713.0,89169.02544688468,148332.80705403537,48.17,3230.3758,13352.177,2016
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",506.0,380.0,126.0,117.0,138822,130798,8024,311719,0.0,0.0,0.0,43528,39090.804192237236,48238.41477634834,95471.63813023522,48.17,3230.3758,13352.177,2016
NY-503,Albany City & County CoC,748.0,722.0,26.0,83.0,158526,151974,6552,307810,0.0,0.0,0.0,35585,55126.0,139110.72920349913,209623.35657323684,48.17,3230.3758,13352.177,2016
NY-504,Cattaraugus County CoC,27.0,27.0,0.0,1.0,34879,32760,2119,77711,0.0,0.0,0.0,11014,36614.0,31593.310799808747,72230.82124460109,48.17,3230.3758,13352.177,2016
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",867.0,840.0,27.0,62.0,311303,295756,15547,660742,0.0,0.0,0.0,94607,45034.13418399315,70714.8362828639,123037.99862526562,48.17,3230.3758,13352.177,2016
NY-507,Schenectady City & County CoC,345.0,276.0,69.0,31.0,75807,72465,3342,154473,0.0,0.0,0.0,17158,46850.0,98596.27870063057,162202.78919458704,48.17,3230.3758,13352.177,2016
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",962.0,905.0,57.0,38.0,611273,579622,31651,1270291,0.0,0.0,0.0,169145,44944.68940660053,76960.3303925865,137123.01335832092,48.17,3230.3758,13352.177,2016
NY-510,Ithaca/Tompkins County CoC,86.0,56.0,30.0,4.0,50377,48245,2132,103042,0.0,0.0,0.0,17022,41008.0,124118.35868042574,198734.93082509236,48.17000000000001,3230.3758000000003,13352.177,2016
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC",276.0,248.0,28.0,0.0,202235,191296,10939,445242,0.0,0.0,0.0,66773,39416.73460275536,56676.30949789092,106065.93091284158,48.17,3230.3758,13352.177,2016
NY-512,Troy/Rensselaer County CoC,179.0,167.0,12.0,19.0,81585,78036,3549,159311,0.0,0.0,0.0,17978,45280.0,109537.0750650487,172120.2443483141,48.17,3230.3758,13352.177,2016
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",58.0,58.0,0.0,33.0,126308,120383,5925,259976,0.0,0.0,0.0,27198,44021.56007862264,75042.5518352652,134119.5604232089,48.17,3230.3758,13352.177,2016
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",23.0,23.0,0.0,0.0,56159,52844,3315,129310,0.0,0.0,0.0,23921,37313.0,38904.49609917539,80907.1560516405,48.17,3230.3758,13352.177,2016
NY-516,Clinton County CoC,132.0,130.0,2.0,12.0,35822,33869,1953,80521,0.0,0.0,0.0,10701,41163.0,64734.86774862994,124869.62541172186,48.17,3230.3758,13352.177,2016
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",160.0,143.0,17.0,22.0,162610,154275,8335,364232,0.0,0.0,0.0,52942,40165.5767258231,57269.374493058756,108418.71522712728,48.17,3230.3758,13352.176999999998,2016
NY-519,"Columbia, Greene Counties CoC",116.0,114.0,2.0,17.0,52048,49811,2237,108282,0.0,0.0,0.0,14797,48750.09719066881,113314.28687335554,190534.73427349472,48.169999999999995,3230.3758,13352.177,2016
NY-520,"Franklin, Essex Counties CoC",27.0,25.0,2.0,2.0,37052,34973,2079,88768,0.0,0.0,0.0,12767,37948.67294520548,46804.11199743965,106259.27012762873,48.17000000000001,3230.3758000000003,13352.176999999998,2016
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",119.0,110.0,9.0,8.0,57443,53744,3699,139936,0.0,0.0,0.0,20659,43448.448890921565,63532.245171710114,127424.1463299215,48.17000000000001,3230.3758,13352.177,2016
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",268.0,252.0,16.0,29.0,180214,172448,7766,358084,0.0,0.0,0.0,28515,55734.03151774444,138914.34626844057,217755.0597731367,48.17,3230.3757999999993,13352.177,2016
NY-600,New York City CoC,73523.0,70685.0,2838.0,4294.0,4087558,3877386,210172,8468954,0.0,0.0,0.0,1585155,65832.25921382972,188313.5282935826,425964.0735076753,48.17,3230.3758000000003,13352.177,2016
NY-601,Poughkeepsie/Dutchess County CoC,385.0,363.0,22.0,21.0,143108,137045,6063,293065,0.0,0.0,0.0,25588,51835.0,166399.45406116368,248417.32131547175,48.17,3230.3758,13352.177,2016
NY-602,"Newburgh, Middletown/Orange County CoC",343.0,323.0,20.0,33.0,178963,171096,7867,377894,0.0,0.0,0.0,46624,47969.0,130327.41875314085,217250.58250931953,48.17,3230.3758,13352.177,2016
NY-603,"Nassau, Suffolk Counties CoC",3960.0,3845.0,115.0,174.0,1474377,1412254,62123,2842766,0.0,0.0,0.0,193533,72220.8330347978,275060.233146304,410763.8849684384,48.17,3230.3758,13352.177,2016
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",1750.0,1716.0,34.0,131.0,477963,457115,20848,970461,0.0,0.0,0.0,95327,96251.0,312451.49470234656,537165.679499644,48.17,3230.3758,13352.177,2016
NY-606,Rockland County CoC,141.0,109.0,32.0,16.0,152561,146064,6497,323231,0.0,0.0,0.0,46260,56298.0,251651.08333290802,384686.373096671,48.17,3230.3758,13352.177,2016
NY-607,Sullivan County CoC,163.0,163.0,0.0,3.0,34048,32392,1656,74913,0.0,0.0,0.0,12240,42061.0,59118.7696569836,119759.713328207,48.17,3230.3758,13352.177,2016
NY-608,Kingston/Ulster County CoC,328.0,290.0,38.0,34.0,88189,84222,3967,179045,0.0,0.0,0.0,23815,46273.0,124061.2546701826,198940.38349810443,48.17,3230.3758,13352.177000000001,2016
OH-500,Cincinnati/Hamilton County CoC,1116.0,1056.0,60.0,24.0,406542,388426,18116,811766,0.0,0.0,0.0,126002,55168.0,60550.05263691766,131863.43458693827,50.88000000000001,2428.1434,8810.1606,2016
OH-501,Toledo/Lucas County CoC,599.0,584.0,15.0,31.0,211249,200233,11016,433113,0.0,0.0,0.0,83600,43439.0,25090.86849925734,83109.41009060864,50.88,2428.1434,8810.1606,2016
OH-502,Cleveland/Cuyahoga County CoC,1697.0,1623.0,74.0,193.0,612160,578168,33992,1254324,0.0,0.0,0.0,223636,50693.0,43629.35978887123,106123.1930556599,50.88,2428.1434,8810.1606,2016
OH-503,Columbus/Franklin County CoC,1724.0,1385.0,339.0,160.0,669446,641672,27774,1275212,0.0,0.0,0.0,205476,48167.0,63510.51509873943,144842.06411103203,50.88,2428.1434,8810.1606,2016
OH-504,Youngstown/Mahoning County CoC,346.0,308.0,38.0,43.0,106380,99542,6838,230263,0.0,0.0,0.0,41625,40935.0,22881.688077594154,72438.13537426351,50.88,2428.1434,8810.1606,2016
OH-505,"Dayton, Kettering/Montgomery County CoC",751.0,708.0,43.0,56.0,251039,238575,12464,532274,0.0,0.0,0.0,93949,43347.0,32708.613977014757,88736.38005934778,50.88,2428.1434,8810.1606,2016
OH-506,Akron/Summit County CoC,679.0,592.0,87.0,45.0,273479,259430,14049,541226,0.0,0.0,0.0,72687,47456.0,44890.77584531243,113378.94618967515,50.88,2428.1434,8810.1606,2016
OH-507,Ohio Balance of State CoC,3032.0,2587.0,445.0,182.0,2547507,2412165,135342,5235702,0.0,0.0,0.0,668279,41254.64737068687,57311.44492426207,119654.82616999793,50.88,2428.1434,8810.1606,2016
OH-508,"Canton, Massillon, Alliance/Stark County CoC",460.0,423.0,37.0,44.0,187210,176932,10278,373553,0.0,0.0,0.0,48072,41983.0,45762.83047082155,109556.91495602862,50.88,2428.1434,8810.1606,2016
OK-500,North Central Oklahoma CoC,129.0,78.0,51.0,12.0,103001,98466,4535,221781,0.0,0.0,0.0,39361,38407.341530609025,33521.887016370674,96764.38279152414,60.14,1700.5186,7485.1023000000005,2016
OK-501,Tulsa City & County CoC,1043.0,893.0,150.0,118.0,317900,303589,14311,646328,0.0,0.0,0.0,99417,54124.0,52505.95087277776,125015.42729794791,60.14,1700.5186000000003,7485.1023,2016
OK-503,Oklahoma Balance of State CoC,295.0,114.0,181.0,71.0,150085,143565,6520,318135,0.0,0.0,0.0,48841,37967.373234633094,30247.018534931303,89023.10330022153,60.13999999999999,1700.5185999999999,7485.1023,2016
OK-505,Northeast Oklahoma CoC,368.0,342.0,26.0,35.0,130860,124169,6691,304642,0.0,0.0,0.0,56938,35178.9842897565,32488.98679054853,85113.2867288397,60.13999999999999,1700.5185999999999,7485.1023,2016
OK-506,Southwest Oklahoma Regional CoC,187.0,147.0,40.0,15.0,178266,168866,9400,405565,0.0,0.0,0.0,63839,37428.276993823434,28061.189042547285,87213.82514014165,60.14,1700.5186,7485.102299999999,2016
OK-507,Southeastern Oklahoma Regional CoC,436.0,217.0,219.0,65.0,263571,249787,13784,611160,0.0,0.0,0.0,111588,35501.937859153084,29488.67374600796,81274.18899251796,60.1295626349892,1829.8195375917926,7589.237205820735,2016
OR-500,"Eugene, Springfield/Lane County CoC",1451.0,517.0,934.0,574.0,178047,169145,8902,369201,0.0,0.0,0.0,66339,41557.0,164639.6448616885,244640.75943258477,51.269999999999996,2507.5483,10637.809,2016
OR-501,"Portland, Gresham/Multnomah County CoC",3914.0,2027.0,1887.0,1053.0,442861,424464,18397,803630,0.0,0.0,0.0,111262,51196.0,244314.48904755045,357940.8248050965,51.27,2507.5483,10637.809,2016
OR-502,"Medford, Ashland/Jackson County CoC",527.0,288.0,239.0,184.0,101140,95428,5712,214600,0.0,0.0,0.0,31189,42907.0,177675.58749074928,259923.26521727908,51.27,2507.5483,10637.808999999997,2016
OR-503,Central Oregon CoC,602.0,197.0,405.0,218.0,108799,103246,5553,226151,0.0,0.0,0.0,26143,47225.04574819479,187176.27587139644,293536.369961925,51.269999999999996,2507.5483,10637.809,2016
OR-505,Oregon Balance of State CoC,5710.0,1859.0,3851.0,1078.0,686298,649912,36386,1485564,0.0,0.0,0.0,215959,39155.714910296694,142278.64569011735,218171.3093600074,51.27,2507.5483,10637.809,2016
OR-506,"Hillsboro, Beaverton/Washington County CoC",571.0,193.0,378.0,142.0,312711,300084,12627,585358,0.0,0.0,0.0,51702,54532.0,267433.2502138634,375013.99261819856,51.27,2507.5483,10637.809,2016
OR-507,Clackamas County CoC,463.0,155.0,308.0,211.0,212188,203105,9083,407055,0.0,0.0,0.0,35366,53410.0,253846.08085636212,367560.2483918078,51.27,2507.5483,10637.809,2016
PA-501,Harrisburg/Dauphin County CoC,433.0,390.0,43.0,42.0,142301,135593,6708,274305,0.0,0.0,0.0,30247,46997.0,64181.22892505166,145444.31283346075,49.8,2333.4314,9466.4434,2016
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",406.0,371.0,35.0,26.0,294655,280449,14206,563860,0.0,0.0,0.0,58546,60743.0,79860.72786880843,184069.61278385136,49.8,2333.4314,9466.4434,2016
