coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_chronically_homeless,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,poverty,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,public_welfare_expenditures_per_capita,total_expenditures_per_capita,year
GA-501,Georgia Balance of State CoC,4349.0,2087.0,2262.0,256.0,3239550,3050601,188949,7028803,64952.0,56935.0,8017.0,936676,44677.41303135114,121357.87976152696,194099.37507463986,62.33996085820018,1286.0591832812217,7567.859592624406,2020
GA-503,Athens-Clarke County CoC,210.0,143.0,67.0,51.0,58181,54472,3709,127795,2438.0,2218.0,220.0,28845,37588.0,102945.88112859335,191991.70175653967,62.3,1285.4906,7564.5894,2020
GA-504,Augusta-Richmond County CoC,470.0,188.0,282.0,95.0,84317,77914,6403,202079,7405.0,6812.0,593.0,48382,41999.0,56496.35514403977,117447.62668099678,62.3,1285.4906,7564.589399999999,2020
GA-505,Columbus-Muscogee/Russell County CoC,249.0,208.0,41.0,29.0,101292,93936,7356,254679,7182.0,6265.0,917.0,51731,45437.96709583436,46407.816301730665,117009.30446950202,62.38689393314721,1346.782516287562,7855.6693498081895,2020
GA-506,Marietta/Cobb County CoC,424.0,297.0,127.0,61.0,413432,389213,24219,762944,3420.0,3283.0,137.0,69097,63214.0,188685.78908428864,280776.23115814687,62.3,1285.4906,7564.5894,2020
GA-507,Savannah/Chatham County CoC,672.0,452.0,220.0,294.0,140138,129534,10604,289463,5761.0,5645.0,116.0,43011,51805.0,108327.91595743415,192785.79987316058,62.3,1285.4906,7564.5894,2020
HI-500,Hawaii Balance of State CoC,2010.0,706.0,1304.0,709.0,128263,111860,16403,275191,4861.0,4362.0,499.0,31306,48319.629926124035,272978.70650185965,441923.1509865009,72.95,2115.1345,11061.295,2020
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",305.0,288.0,17.0,34.0,65380,62036,3344,123208,2679.0,2309.0,370.0,13263,47622.02306668398,79351.8466653106,138701.29574572638,48.42343776378157,2148.014835091877,10851.465103516006,2020
IA-501,Iowa Balance of State CoC,1696.0,1510.0,186.0,220.0,1248003,1184696,63307,2362172,30234.0,26388.0,3846.0,233154,52457.908584133584,80995.2897841002,147818.37716792908,48.14,2275.075,11065.408,2020
IA-502,Des Moines/Polk County CoC,646.0,516.0,130.0,114.0,264856,249212,15644,494281,5917.0,5147.0,770.0,55560,57080.0,124187.22639044611,200436.9258378411,48.14,2275.075,11065.408,2020
ID-500,Boise/Ada County CoC,647.0,564.0,83.0,129.0,260850,246434,14416,494399,3282.0,3019.0,263.0,37356,57215.0,307115.1140058806,392617.4902535745,46.32,1771.245,7995.4686,2020
ID-501,Idaho Balance of State CoC,1668.0,708.0,960.0,235.0,631686,596977,34709,1316650,9187.0,8008.0,1179.0,141867,45657.70829377587,196115.28396269682,281467.6176817626,46.32,1771.245,7995.4686,2020
IL-501,"Rockford/Winnebago, Boone Counties CoC",465.0,420.0,45.0,37.0,161616,143062,18554,334072,7017.0,6138.0,879.0,43864,47982.52610814435,69187.52697541792,125379.402677905,51.36999999999999,2186.9143,10209.734000000002,2020
IL-502,"Waukegan, North Chicago/Lake County CoC",292.0,258.0,34.0,24.0,365945,336112,29833,693593,8814.0,8020.0,794.0,46919,85159.0,146102.63527787387,241701.15780250958,51.37,2186.9143,10209.734,2020
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",140.0,128.0,12.0,25.0,107408,100294,7114,209192,2931.0,2491.0,440.0,29150,49187.0,84623.35969436282,145512.78310213104,51.37,2186.9143,10209.734,2020
IL-504,Madison County CoC,79.0,47.0,32.0,16.0,131563,121231,10332,262635,3361.0,2957.0,404.0,28469,51433.0,55613.55191578765,121669.1419285824,51.37,2186.9143,10209.734,2020
IL-506,"Joliet, Bolingbrook/Will County CoC",276.0,234.0,42.0,24.0,94696,86958,7738,181631,712.0,643.0,69.0,8087,56205.822188943515,158642.36891017377,228581.97668080137,51.36999999999999,2186.9143,10209.734,2020
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",311.0,274.0,37.0,59.0,178727,162469,16258,380210,8557.0,7672.0,885.0,40650,52809.41741406065,51255.98258892359,105490.80344962896,51.37,2186.9143,10209.734,2020
IL-512,Bloomington/Central Illinois CoC,408.0,356.0,52.0,71.0,239748,221502,18246,499758,7880.0,6458.0,1422.0,58457,50386.903635359515,63327.2632560946,118569.25808602404,51.37,2186.9143,10209.734,2020
IL-513,Springfield/Sangamon County CoC,294.0,251.0,43.0,73.0,97057,88967,8090,193882,4108.0,3861.0,247.0,24310,52891.0,59777.61671507809,128050.27271715726,51.37,2186.9143,10209.734,2020
IL-515,South Central Illinois CoC,123.0,91.0,32.0,10.0,187065,173590,13475,388320,4349.0,3788.0,561.0,42909,48751.85480274001,40091.153632031455,85717.26324325372,51.37,2186.9143000000004,10209.734,2020
IL-516,Decatur/Macon County CoC,135.0,112.0,23.0,28.0,47300,42577,4723,103015,3009.0,2557.0,452.0,12674,52196.0,25913.238198439212,72089.44386407555,51.37,2186.9143,10209.734,2020
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",135.0,117.0,18.0,16.0,256563,235172,21391,526106,10016.0,8908.0,1108.0,55893,48957.744878408535,52450.751254671064,100123.53504525998,51.37,2186.9143,10209.734000000002,2020
IL-519,West Central Illinois CoC,113.0,110.0,3.0,3.0,100928,94295,6633,213529,3994.0,3411.0,583.0,24596,47611.28011651813,42735.21205500575,88380.05251210513,51.370000000000005,2186.9143,10209.734,2020
IL-520,Southern Illinois CoC,233.0,187.0,46.0,22.0,222347,203808,18539,487955,9310.0,8111.0,1199.0,64086,44870.70269389595,30482.39608072371,74596.19371448734,51.37,2186.9143,10209.734,2020
IN-502,Indiana Balance of State CoC,4037.0,3257.0,780.0,271.0,2625975,2441723,184252,5323834,65111.0,77617.0,-12506.0,571479,50826.974231540655,102335.11128293296,169942.2459751199,51.81,2477.0877,9255.7888,2020
IN-503,Indianapolis CoC,1588.0,1402.0,186.0,132.0,496408,456101,40307,966183,16647.0,15148.0,1499.0,135820,59264.0,84111.48149241637,153702.30045878584,51.81,2477.0877,9255.7888,2020
KS-502,Wichita/Sedgwick County CoC,619.0,558.0,61.0,48.0,259283,236571,22712,519907,5445.0,4628.0,817.0,68637,56550.0,76385.83283644558,149947.53039980395,54.68,1751.1707,9991.5303,2020
KS-503,Topeka/Shawnee County CoC,467.0,375.0,92.0,163.0,91649,86325,5324,175999,3198.0,2654.0,544.0,18039,51216.0,66053.74818228859,135886.5886710204,54.68,1751.1707,9991.5303,2020
KS-505,"Overland Park, Shawnee/Johnson County CoC",180.0,156.0,24.0,19.0,343574,326260,17314,607220,3464.0,3360.0,104.0,27345,80681.0,218630.75466536693,309700.10633296374,54.68,1751.1707,9991.5303,2020
KS-507,Kansas Balance of State CoC,943.0,720.0,223.0,109.0,730316,694266,36050,1445414,17956.0,14889.0,3067.0,159236,48392.972195509385,70301.53400513002,121769.013220356,54.68,1751.1707,9991.5303,2020
KY-500,Kentucky Balance of State CoC,2220.0,1464.0,756.0,308.0,1455714,1360487,95227,3385064,57238.0,50779.0,6459.0,515843,44234.67664392756,68195.84801923977,132006.94196138444,55.61999999999999,2942.1999,9375.8488,2020
KY-501,Louisville-Jefferson County CoC,1102.0,961.0,141.0,269.0,389491,363423,26068,767452,21548.0,18746.0,2802.0,85737,57863.0,101945.18784149963,182882.11632229426,55.61999999999999,2942.1999,9375.8488,2020
KY-502,Lexington-Fayette County CoC,689.0,658.0,31.0,89.0,171805,162169,9636,324735,6415.0,6030.0,385.0,45575,54824.0,130079.46087313024,204507.82743987,55.62,2942.1999,9375.8488,2020
MA-503,Cape Cod Islands CoC,336.0,286.0,50.0,56.0,119626,106821,12805,230625,3800.0,3319.0,481.0,17502,81126.91970514905,346717.93845152966,492332.35174561234,48.14,3657.2983,12356.727999999997,2020
MA-504,Springfield/Hampden County CoC,2257.0,2153.0,104.0,139.0,226764,201994,24770,463986,20119.0,18509.0,1610.0,64583,57821.0,167472.48955906526,230174.6890572411,48.14,3657.2983,12356.728,2020
MA-506,Worcester City & County CoC,1401.0,1212.0,189.0,169.0,443482,402482,41000,829212,18313.0,17763.0,550.0,76029,63286.0,224139.61393931127,319011.47317038104,48.14,3657.2983,12356.727999999997,2020
