coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
PA-508,Scranton/Lackawanna County CoC,233.0,223.0,10.0,139.0,94.0,168.0,37.0,41.0,0.0,106458,100145,6313,211974,0,0.0,0.0,42662.0,40067.66354730719,103417.01459785739,49.8
PA-509,Eastern Pennsylvania CoC,2410.0,1994.0,416.0,1229.0,1180.0,1806.0,483.0,455.0,21.0,1541396,1456881,84515,3100448,0,0.0,0.0,42766.722280135,76568.75826029829,141094.37692334445,49.800000000000004
PA-510,Lancaster City & County CoC,378.0,368.0,10.0,173.0,205.0,242.0,78.0,111.0,3.0,276028,264467,11561,535960,0,0.0,0.0,46728.0,123919.94142668892,190400.82115654123,49.8
PA-511,"Bristol, Bensalem/Bucks County CoC",487.0,449.0,38.0,190.0,297.0,284.0,55.0,138.0,3.0,337666,321616,16050,625670,0,0.0,0.0,65778.0,180083.59075059442,284086.6978599445,49.8
PA-512,York City & County CoC,345.0,301.0,44.0,171.0,173.0,210.0,50.0,110.0,2.0,232597,221333,11264,441911,0,0.0,0.0,44972.0,93789.1355847959,158546.54200091492,49.79999999999999
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1424.0,1386.0,38.0,795.0,626.0,515.0,14.0,819.0,7.0,647733,615035,32698,1229342,0,0.0,0.0,54733.0,47901.92294043468,120282.99694999462,49.8
PA-601,Western Pennsylvania CoC,1002.0,937.0,65.0,543.0,459.0,803.0,58.0,159.0,0.0,842420,793052,49368,1723511,0,0.0,0.0,43595.568744847,36591.34436600893,97253.25131056609,49.8
PA-603,Beaver County CoC,120.0,113.0,7.0,60.0,60.0,80.0,1.0,39.0,1.0,85836,80545,5291,168311,0,0.0,0.0,43223.0,40359.03817687349,107859.30151031702,49.8
PA-605,Erie City & County CoC,410.0,394.0,16.0,239.0,171.0,240.0,34.0,152.0,0.0,134801,127260,7541,278452,0,0.0,0.0,40514.0,58853.82603331769,113472.82973836166,49.8
RI-500,Rhode Island Statewide CoC,1111.0,1075.0,36.0,691.0,418.0,765.0,280.0,287.0,4.0,555273,521768,33505,1056886,0,0.0,0.0,49624.695897192316,147214.711249295,223165.90305815902,49.27
SC-500,Charleston/Low Country CoC,606.0,441.0,165.0,443.0,163.0,244.0,13.0,286.0,0.0,472648,447826,24822,1011117,0,0.0,0.0,45471.239295749154,113830.69434913293,218582.92528524707,61.7
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",1961.0,1555.0,406.0,1258.0,703.0,944.0,50.0,991.0,1.0,691319,653091,38228,1481455,0,0.0,0.0,38810.94912906568,48436.62479877393,119312.06755589905,61.7
SC-502,Columbia/Midlands CoC,1468.0,1066.0,402.0,973.0,495.0,440.0,24.0,1001.0,4.0,712662,670462,42200,1497885,0,0.0,0.0,39999.88822773444,45941.24359820823,124142.28570815119,61.7
