coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,ec_county,child_ec_county,ec_grp_mem_county,ec_high_county,child_high_ec_county,ec_grp_mem_high_county,exposure_grp_mem_county,exposure_grp_mem_high_county,child_exposure_county,child_high_exposure_county,bias_grp_mem_county,bias_grp_mem_high_county,child_bias_county,child_high_bias_county,clustering_county,support_ratio_county,volunteering_rate_county,civic_organizations_county
CA-507,Marin County CoC,225.0,225.0,0.0,124.0,100.0,155.0,86.0,41.0,5.0,129479,123589,5890,259162,3712.0,3452.0,260.0,164118.0,784860.0110989087,1296494.4509589258,0.81247997,1.16879,0.82047999,1.65818,1.51187,1.7297601,1.12514,1.59877,1.2437299,1.43707,0.27077001,-0.081929997,0.060249999,-0.052049998,0.086240001,0.95152998,0.082209997,0.029689999
CA-508,Watsonville/Santa Cruz City & County CoC,800.0,800.0,0.0,479.0,318.0,656.0,307.0,54.0,6.0,133124,123902,9222,260495,6266.0,5764.0,502.0,85554.0,642024.4789311141,991617.9680153629,0.81641001,1.04211,0.78511,1.5647,1.49965,1.58733,0.95611,1.41316,1.09936,1.42178,0.17885,-0.12324,0.052080002,-0.05477,0.087530002,0.97289997,0.084919997,0.022779999
CA-509,Mendocino County CoC,318.0,318.0,0.0,144.0,170.0,232.0,74.0,4.0,0.0,36821,34503,2318,91003,1773.0,1312.0,461.0,56047.0,326176.41607322363,481484.61989911576,0.69420999,0.75048,0.61908001,1.22495,0.93290001,1.15432,0.70657003,0.9598500099999999,0.80641001,0.85565001,0.12383,-0.2026,0.069360003,-0.090290003,0.11799,0.99517,0.096100003,0.02589
CA-510,"Turlock, Modesto/Stanislaus County CoC",2927.0,726.0,2201.0,1337.0,1586.0,2119.0,1228.0,374.0,53.0,240200,220161,20039,552851,6472.0,6083.0,389.0,52356.0,307047.53732839454,394834.2556299625,0.74586999,0.9678199899999999,0.83077002,1.2558399,1.28132,1.29875,0.93813998,1.11992,1.0520999,1.14916,0.11445,-0.15967999,0.080109999,-0.115,0.084260002,0.9718899700000001,0.04253,0.0082
CA-511,Stockton/San Joaquin County CoC,885.0,885.0,0.0,554.0,330.0,558.0,334.0,226.0,24.0,336882,307953,28929,788140,7904.0,6639.0,1265.0,57783.0,332876.271636912,469924.6227720012,0.72867,1.0142699,0.7323799699999999,1.31733,1.30927,1.33907,0.87353998,1.2210701,1.04018,1.23479,0.16159999,-0.09662999999999998,0.024900000999999998,-0.06032000099999999,0.08647999899999999,0.96973997,0.03596,0.01006
CA-512,Daly City/San Mateo County CoC,621.0,621.0,0.0,343.0,273.0,355.0,207.0,136.0,38.0,433387,413318,20069,739060,6810.0,6197.0,613.0,160485.0,949568.7376591642,1429258.0836164148,1.16289,1.09759,1.3430099,1.6348999999999998,1.4687799999999998,1.7278,1.4445699,1.63626,1.17634,1.37446,0.070299998,-0.055950001,0.066950001,-0.068619996,0.088699996,0.93785,0.05632,0.01163
CA-513,"Visalia/Kings, Tulare Counties CoC",494.0,494.0,0.0,276.0,217.0,402.0,253.0,46.0,2.0,256686,229974,26712,629625,5666.0,4759.0,907.0,46819.61367480643,197160.89843828886,279867.87874853343,0.5602839835114234,0.8520183617246933,0.5821966529549969,1.116179986849315,1.2243731119423467,1.1394908076235855,0.6730244216770459,0.9262804817638118,0.9103731993329363,1.063625879123764,0.13524440533141152,-0.2302485975938058,0.06431226804977248,-0.15143450377605716,0.08862096697473258,0.9840674804654198,0.0284803902231757,0.00726855272478523
CA-514,Fresno City & County/Madera County CoC,999.0,999.0,0.0,559.0,431.0,698.0,478.0,207.0,15.0,506737,460626,46111,1171902,18755.0,17288.0,1467.0,50653.82557073885,222542.85987804524,324873.2169853842,0.576084935362462,0.7698470944243461,0.5886142465168931,1.1869291988920574,1.2666647644598266,1.2464978310131736,0.6514658859334825,1.0584776090926546,0.8278294834789598,1.1614084034671839,0.09639914002537413,-0.17806410898769692,0.07032939679674068,-0.09072825184953691,0.0854937424409345,0.9781640585568587,0.03362762555834361,0.00878575587922352
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",708.0,357.0,351.0,406.0,298.0,557.0,122.0,60.0,10.0,236945,224646,12299,516246,2315.0,2069.0,246.0,75270.62974240963,451683.7970692149,611826.9544114673,1.0595267543961597,1.2850886105932058,1.1430053563522622,1.5069519320163256,1.4068664398561928,1.5411284420218267,1.1979046473109718,1.3730415100746542,1.3149857987858502,1.351489528035084,0.04712926033325198,-0.1225891392370498,0.022158666082343882,-0.04189940745504857,0.08782315200844171,0.9518836539264615,0.08735107575223634,0.01866180778285546
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",792.0,792.0,0.0,429.0,362.0,587.0,129.0,18.0,9.0,120189,111509,8680,317179,4883.0,4096.0,787.0,52130.77927920827,199871.82152518842,304967.8766082707,0.7790949022692549,0.8937064156888697,0.7693590652875191,1.233692702377522,1.0227405167632158,1.2210882149114537,0.8331921427979784,1.0002559303762544,0.9039989218569956,0.9604421360500537,0.07769025850013714,-0.2214531945858017,0.011330630232376671,-0.0645410664961457,0.09904546579079006,0.9908586748831734,0.1286947039330851,0.02439002286483342
